Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,1.0599172896964472e-09,1.2170040337030277e-09,1.7030487458037637e-09,1.2754436511550465e-09,1.4249999209125043e-09,1.360927191072761e-09,1.057142882061225e-09,1.0637449660973663e-09,1.259708706982869e-09,9.298107037000324e-10,1.0635337958756933e-09,1.1359236577078624e-09,1.0842618925021946e-09,1.0442308110000017e-09,9.835051808997776e-10,9.84507063330292e-10,8.843478221266162e-10,9.006771750821668e-10,7.303030061809007e-10,6.706435813009761e-10,5.519364933237506e-10,6.41027868997345e-10,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.0578177361036744e-10,3.056100160970376e-10,2.066282196867306e-10,2.415794415573129e-10,2.639398393489573e-10,2.5338844123909926e-10,4.3722094842212854e-10,5.613651411650597e-10,5.45511466832786e-10,6.964291615068621e-10,5.274442540493366e-10,4.382915960318065e-10,3.9712883134010105e-10,4.301196255956729e-10,3.9190657795686845e-10,4.4098506373297704e-10,4.846778492672626e-10,5.074616344071771e-10,4.722576628924332e-10,inf
AFG,5.929214508642266e-09,5.8091902123734634e-09,5.778292565246969e-09,4.284851614694574e-09,4.097499772588763e-09,3.3450994330061428e-09,2.469142915344083e-09,2.11924292065982e-09,2.690679545689652e-09,2.622775963597221e-09,2.1128871411397103e-09,2.00173777642423e-09,1.7892452145612515e-09,1.8223846882800029e-09,1.5898454032752535e-09,1.573943695667527e-09,1.5042521671766099e-09,1.271376938721248e-09,1.119757538771645e-09,9.7508331671575e-10,9.983185647402128e-10,1.0365104439599223e-09,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.744865528847458e-10,8.183261822331691e-10,7.012732189256873e-10,6.191197928230814e-10,5.257853734509065e-10,3.69906089643702e-10,3.8615908109735416e-10,3.3841378050894516e-10,2.9317615109968263e-10,2.7280927492769613e-10,2.4400073520183316e-10,2.4258422289089976e-10,2.515181790037785e-10,2.460723262642365e-10,2.8127852675388876e-10,2.8443803228106967e-10,2.641078840350066e-10,2.7264626345046406e-10,2.725771807549252e-10,inf
AFG,2.0547519387974987e-09,2.0541497724553347e-09,2.108231664381136e-09,1.567677347844538e-09,1.5062499164031297e-09,1.224337783209619e-09,9.000000212142862e-10,7.709162956548329e-10,9.611650249811487e-10,9.599763181330488e-10,7.261763014850164e-10,7.167787503565237e-10,8.445334682928944e-10,7.990384935000013e-10,6.587629041875868e-10,6.147887455560407e-10,5.849999973802174e-10,5.172121747887254e-10,4.704545299152898e-10,4.232085502967853e-10,4.28368621684105e-10,4.4340156409345506e-10,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,6.534852419898981e-10,6.200782935302212e-10,5.596180949848952e-10,4.912115311665362e-10,4.5185352932022577e-10,3.3340584373565685e-10,3.2890489898270984e-10,2.798771686583332e-10,2.254570513210647e-10,2.0780547561091854e-10,1.933962264847568e-10,1.9730567318532627e-10,2.0124771858451065e-10,2.2211523800505587e-10,2.414917293748309e-10,2.3995559695264776e-10,2.534172754740259e-10,2.513371302488377e-10,2.410999647398211e-10,inf
AFG,6.427933486004699e-11,6.514979677428183e-11,6.814024251470482e-11,5.1973663104165676e-11,5.140499714702266e-11,4.292384228193723e-11,3.235428647692247e-11,2.8315934822261464e-11,3.5803397180547786e-11,3.616892659476813e-11,2.9818971749955593e-11,2.994469519203726e-11,3.604638062738221e-11,3.472846292760006e-11,2.930845439081337e-11,2.782732453940188e-11,2.6819999879893046e-11,2.4115800663045893e-11,2.2395150775432898e-11,2.0791032703525904e-11,2.1848447277511214e-11,2.3642717564705667e-11,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.1887171020529846e-11,4.005838650125271e-11,3.7515266508382294e-11,3.282774715434014e-11,2.9965491608868736e-11,2.219436537862212e-11,2.234416667723622e-11,1.910477796348371e-11,1.5579681362925445e-11,1.4494038778367169e-11,1.3457463861745274e-11,1.374150872351499e-11,1.3782614664484508e-11,1.485778476304314e-11,1.570883000292186e-11,1.5397790686053438e-11,1.637468881017041e-11,1.664410329203414e-11,1.58509556199875e-11,inf
AGO,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.8969721858861135e-09,1.7025545234005827e-09,1.977305385642476e-09,1.8714316608627895e-09,1.259892589973372e-09,1.0524837979588349e-09,1.0781860437255194e-09,1.4102153006724274e-09,8.096472964841904e-10,8.136378215982539e-10,1.338081262677508e-09,1.424019880978832e-09,1.823585063190919e-09,2.6132311669168283e-09,3.402187435780966e-09,2.7081926434777805e-09,1.8169264615653345e-09,1.7716175952521605e-09,2.30164025934291e-09,2.2672151316100107e-09,1.577287961348682e-09,1.6422219508382528e-09,1.0271108305998598e-09,9.99286754868235e-10,7.568344192037772e-10,4.794308776665437e-10,3.1356785549894696e-10,2.6813162722988737e-10,1.8833591185122051e-10,2.378847097579738e-10,2.141994501249759e-10,1.653669724770642e-10,1.374e-10,1.325187969924812e-10,1.2445255474452555e-10,2.0322339237233557e-10,3.5513291643470755e-10,2.609725783294281e-10,2.085664841043465e-10,2.6042754484078993e-10,3.282414188457221e-10,2.4329060439254586e-10
AGO,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.8441267562810729e-09,1.6106706284869004e-09,1.900591341614543e-09,1.7979920147164145e-09,1.1469996901960816e-09,9.66564051433642e-10,9.733792902029812e-10,1.3713230471170404e-09,7.306211589541138e-10,7.653685127603044e-10,1.3455264269743357e-09,1.427641229550328e-09,1.825775772639769e-09,2.619055682154534e-09,3.3974108547453e-09,2.717039406113141e-09,1.7935953985561296e-09,1.7338318029991807e-09,2.258051265850446e-09,2.2036680981720528e-09,1.5276033905661987e-09,1.5973699877789022e-09,1.0118153839632835e-09,9.970860784193116e-10,7.579043898833809e-10,4.747569337646662e-10,3.0891731488405847e-10,2.652787067161614e-10,1.8478040090364842e-10,2.33543758283048e-10,2.1155561691200475e-10,1.637633027522936e-10,1.351728e-10,1.3107518796992481e-10,1.231153284671533e-10,2.0158384680904956e-10,3.5396117845053884e-10,2.6182508875197094e-10,2.0762295375406857e-10,2.622743440507412e-10,3.2846148979699363e-10,2.4358558563526547e-10
AGO,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9.021156617325072e-10,8.9181427416221e-10,8.692937116833664e-10,1.041605150734255e-09,1.0927223757697855e-09,9.565025711009536e-10,1.1807020937846672e-09,1.24321612032964e-09,1.371268836651041e-09,1.191048136435998e-09,1.1332501875255432e-09,1.1387443750211521e-09,1.2879445660820351e-09,2.4052127655702153e-09,5.328591579882109e-09,5.1455660226077825e-09,4.617052617140429e-09,4.739567367372016e-09,6.032679811633337e-09,6.379082001124941e-09,3.970603374922898e-09,3.832783769418069e-09,2.1916059124264523e-09,1.8385753495468928e-09,1.432996445897755e-09,9.196417399527494e-10,5.822721213222454e-10,4.443324108380991e-10,3.4448247744900903e-10,4.195873804400733e-10,4.100389473820967e-10,2.844036697247706e-10,2.56e-10,2.424812030075188e-10,2.281021897810219e-10,3.783566684506106e-10,6.470642121479841e-10,4.530773929330349e-10,4.0492106313016425e-10,4.5809277278089085e-10,5.921400595654362e-10,4.342013619470366e-10
AGO,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.411262422948571e-09,2.4322207477151182e-09,2.306105597833594e-09,2.3338870597365047e-09,2.2180633299207584e-09,1.7739978481318726e-09,1.8947794079897654e-09,1.8308058289431513e-09,1.5736806607720885e-09,1.3527954142236028e-09,9.529097844026178e-10,1.0373654762097454e-09,1.3842394869105985e-09,2.062849146687248e-09,2.1381959447391634e-09,3.322049642666077e-09,2.5908640585392335e-09,2.144245650342098e-09,2.6282503128389825e-09,2.925438879496788e-09,1.8182625109991753e-09,1.8240693559566284e-09,1.0729055810087707e-09,1.0161286664671378e-09,6.878382940309224e-10,4.111339543318174e-10,3.22636027880195e-10,2.665994465028594e-10,2.0894838796087434e-10,2.887330109468979e-10,2.7907128359139717e-10,2.1926605504587155e-10,2.024e-10,1.8571428571428572e-10,2.6204379562043794e-10,3.0956454691413595e-10,5.718241874796139e-10,4.2625521127139924e-10,3.2907870527403825e-10,3.8955920834910403e-10,4.793070718372192e-10,3.7630784702076505e-10
AGO,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.215915869263996e-11,3.393146124012404e-11,3.409252830297273e-11,3.333240210663382e-11,3.309774529760727e-11,2.7339954597694443e-11,2.9538479758973583e-11,2.6209964690866015e-11,2.4535277989063727e-11,2.1354365756785593e-11,1.8073047273560606e-11,1.9559808971791895e-11,2.561107861816886e-11,3.75036375787809e-11,4.887974510384542e-11,4.067488695092148e-11,3.1595786491121224e-11,3.159859757825473e-11,3.7832664210800575e-11,4.092526468033812e-11,2.7026829217709667e-11,2.7678853650448617e-11,1.6259229869467793e-11,1.4621698532524805e-11,1.1476114885212463e-11,7.060901086211333e-12,5.029151129972517e-12,4.123006405588532e-12,3.210938114063399e-12,4.170727008176393e-12,3.79341106187043e-12,2.925321100917431e-12,2.5032e-12,2.4422556390977442e-12,2.457956204379562e-12,3.929176675091644e-12,6.8759350543601294e-12,4.752600620910363e-12,4.098829529831243e-12,5.073503704588109e-12,6.669268828365353e-12,5.011372925379829e-12
AGO,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.3269525480202994e-11,2.5403194476135678e-11,2.5223029976304932e-11,2.195582641381749e-11,3.0172185002598554e-11,2.435937343703467e-11,2.5876465049412468e-11,2.2513963572138753e-11,5.165777821230117e-11,4.401486528886939e-11,1.246797848751089e-11,1.3297139285961278e-11,1.901824686364127e-11,2.392211615486052e-11,3.04169075384391e-11,2.166554114782224e-11,1.979685870371004e-11,2.1311709817424515e-11,2.8126889312838232e-11,2.0478072156477516e-11,1.3691735775596198e-11,2.9767021391684855e-11,1.8645005523628024e-11,1.835768364280409e-11,1.477578557547907e-11,1.5444571573912348e-11,1.1263624641971304e-11,9.11647532581617e-12,8.346641010977629e-12,1.0624805870804568e-11,7.747900110234843e-12,7.522935779816514e-12,9.679999999999999e-12,1.218045112781955e-11,1.489051094890511e-11,2.3962589001872002e-11,3.1299850262042025e-11,1.5368385168288544e-11,1.4268646986491503e-11,1.7169461405016065e-11,2.2193595933318707e-11,1.6403162562443602e-11
AGO,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.4501298487662733e-17,1.634092013464898e-17,1.7151660383887353e-17,1.72189000851671e-17,1.6961660758217566e-17,1.4297893104346435e-17,1.5978363664391306e-17,1.4596965392925125e-17,1.402628415035992e-17,1.2645696263394547e-17,1.1399294617152813e-17,4.5455469048463384e-17,1.3722026218070282e-16,4.2643772276055716e-16,1.2820163251386555e-15,2.4734826143763728e-15,8.450202775543347e-15,1.765080260952337e-14,3.7809916781192383e-14,6.208431399820962e-14,8.160274522255334e-14,2.2493125186949833e-13,2.9635745621766656e-13,3.9690771668081014e-13,5.052639320350603e-13,6.00471959616207e-13,4.27635918610436e-13,4.04495711935373e-13,3.4448247744900904e-13,4.722135942579808e-13,4.406388688285218e-13,3.357798165137615e-13,3.16e-13,3.1879699248120303e-13,3.3065693430656936e-13,5.526300430096797e-13,1.027277136805482e-12,7.843675826456701e-13,7.327143047117258e-13,8.642443177819011e-13,1.1712250626995083e-12,9.069984005115875e-13
AGO,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9.044763382304988e-12,9.986157896618782e-12,1.0361981043265727e-11,1.030367916742931e-11,1.0060548130109699e-11,8.442641102318342e-12,9.270278954314106e-12,8.33115614646374e-12,7.883912040807182e-12,6.952584199883681e-12,6.502050781236929e-12,7.110102973941594e-12,9.362032940255003e-12,1.3947633810290418e-11,1.8732759456006693e-11,1.5495195028922467e-11,1.1719740352596344e-11,1.1844603777792157e-11,1.4290304157106271e-11,1.55467573519391e-11,1.0804203467466063e-11,1.1405021624642684e-11,6.901399728766905e-12,6.1397750130853586e-12,4.808074593584052e-12,3.175793410921536e-12,2.321146675371931e-12,1.9313750936477842e-12,1.4775700545847297e-12,1.9242988432033355e-12,1.7179775097509354e-12,1.3341651376146788e-12,1.2063040000000001e-12,1.1740751879699249e-12,1.181124087591241e-12,1.9201715577404383e-12,3.473841970941943e-12,2.5923276114056525e-12,2.375022718219973e-12,2.713034608131438e-12,3.601405167317291e-12,2.731609012604579e-12
