"","code","iso","country","latitude","longitude","region"
"28",174,"COM","Comoros",-11.875001,43.872219,"Sub-Saharan Africa"
"29",178,"COG","Congo",-0.228021,15.827659,"Sub-Saharan Africa"
"31",188,"CRI","Costa Rica",9.748917,-83.753428,"Latin America & Caribbean"
"32",191,"HRV","Croatia",45.1,15.2,"Europe & Central Asia"
"33",203,"CZE","Czechia",49.817492,15.472962,"Europe & Central Asia"
"34",204,"BEN","Benin",9.30769,2.315834,"Sub-Saharan Africa"
"35",208,"DNK","Denmark",56.26392,9.501785,"Europe & Central Asia"
"36",214,"DOM","Dominican Rep.",18.735693,-70.162651,"Latin America & Caribbean"
"37",218,"ECU","Ecuador",-1.831239,-78.183406,"Latin America & Caribbean"
"38",222,"SLV","El Salvador",13.794185,-88.89653,"Latin America & Caribbean"
"39",231,"ETH","Ethiopia",9.145,40.489673,"Sub-Saharan Africa"
"40",233,"EST","Estonia",58.595272,25.013607,"Europe & Central Asia"
"41",242,"FJI","Fiji",-16.578193,179.414413,"East Asia & Pacific"
"42",246,"FIN","Finland",61.92411,25.748151,"Europe & Central Asia"
"43",251,"FRA","France",46.227638,2.213749,"Europe & Central Asia"
"44",268,"GEO","Georgia",42.315407,43.356892,"Europe & Central Asia"
"45",270,"GMB","Gambia",13.443182,-15.310139,"Sub-Saharan Africa"
"47",276,"DEU","Germany",51.165691,10.451526,"Europe & Central Asia"
"48",288,"GHA","Ghana",7.946527,-1.023194,"Sub-Saharan Africa"
"49",300,"GRC","Greece",39.074208,21.824312,"Europe & Central Asia"
"50",308,"GRD","Grenada",12.262776,-61.604171,"Latin America & Caribbean"
"51",320,"GTM","Guatemala",15.783471,-90.230759,"Latin America & Caribbean"
"52",328,"GUY","Guyana",4.860416,-58.93018,"Latin America & Caribbean"
"53",340,"HND","Honduras",15.199999,-86.241905,"Latin America & Caribbean"
"54",348,"HUN","Hungary",47.162494,19.503304,"Europe & Central Asia"
"55",352,"ISL","Iceland",64.963051,-19.020835,"Europe & Central Asia"
"56",360,"IDN","Indonesia",-0.789275,113.921327,"East Asia & Pacific"
"57",364,"IRN","Iran",32.427908,53.688046,"Middle East & North Africa"
"58",372,"IRL","Ireland",53.41291,-8.24389,"Europe & Central Asia"
"59",376,"ISR","Israel",31.046051,34.851612,"Middle East & North Africa"
"60",380,"ITA","Italy",41.87194,12.56738,"Europe & Central Asia"
"61",384,"CIV","Côte d'Ivoire",7.539989,-5.54708,"Sub-Saharan Africa"
"62",388,"JAM","Jamaica",18.109581,-77.297508,"Latin America & Caribbean"
"63",392,"JPN","Japan",36.204824,138.252924,"East Asia & Pacific"
"64",398,"KAZ","Kazakhstan",48.019573,66.923684,"Europe & Central Asia"
"65",400,"JOR","Jordan",30.585164,36.238414,"Middle East & North Africa"
"66",404,"KEN","Kenya",-0.023559,37.906193,"Sub-Saharan Africa"
"67",410,"KOR","Rep. of Korea",35.907757,127.766922,"East Asia & Pacific"
"68",417,"KGZ","Kyrgyzstan",41.20438,74.766098,"Europe & Central Asia"
"69",418,"LAO","Lao People's Dem. Rep.",19.85627,102.495496,"East Asia & Pacific"
"70",422,"LBN","Lebanon",33.854721,35.862285,"Middle East & North Africa"
"71",426,"LSO","Lesotho",-29.609988,28.233608,"Sub-Saharan Africa"
"72",428,"LVA","Latvia",56.879635,24.603189,"Europe & Central Asia"
"73",440,"LTU","Lithuania",55.169438,23.881275,"Europe & Central Asia"
"74",442,"LUX","Luxembourg",49.815273,6.129583,"Europe & Central Asia"
"75",454,"MWI","Malawi",-13.254308,34.301525,"Sub-Saharan Africa"
"76",458,"MYS","Malaysia",4.210484,101.975766,"East Asia & Pacific"
"77",466,"MLI","Mali",17.570692,-3.996166,"Sub-Saharan Africa"
"78",470,"MLT","Malta",35.937496,14.375416,"Middle East & North Africa"
"79",478,"MRT","Mauritania",21.00789,-10.940835,"Sub-Saharan Africa"
"80",484,"MEX","Mexico",23.634501,-102.552784,"Latin America & Caribbean"
"81",414,"KWT","Kuwait",29.31166,47.481766,"Middle East & North Africa"
"82",434,"LBY","Libya",26.3351,17.228331,"Middle East & North Africa"
"84",496,"MNG","Mongolia",46.862496,103.846656,"East Asia & Pacific"
"85",498,"MDA","Rep. of Moldova",47.411631,28.369885,"Europe & Central Asia"
"86",499,"MNE","Montenegro",42.708678,19.37439,"Europe & Central Asia"
"87",504,"MAR","Morocco",31.791702,-7.09262,"Middle East & North Africa"
"88",508,"MOZ","Mozambique",-18.665695,35.529562,"Sub-Saharan Africa"
"89",516,"NAM","Namibia",-22.95764,18.49041,"Sub-Saharan Africa"
"90",524,"NPL","Nepal",28.394857,84.124008,"South Asia"
"91",528,"NLD","Netherlands",52.132633,5.291266,"Europe & Central Asia"
"92",554,"NZL","New Zealand",-40.900557,174.885971,"East Asia & Pacific"
"93",558,"NIC","Nicaragua",12.865416,-85.207229,"Latin America & Caribbean"
"94",562,"NER","Niger",17.607789,8.081666,"Sub-Saharan Africa"
"95",579,"NOR","Norway",60.472024,8.468946,"Europe & Central Asia"
"96",586,"PAK","Pakistan",30.375321,69.345116,"South Asia"
"97",600,"PRY","Paraguay",-23.442503,-58.443832,"Latin America & Caribbean"
"98",604,"PER","Peru",-9.189967,-75.015152,"Latin America & Caribbean"
"99",608,"PHL","Philippines",12.879721,121.774017,"East Asia & Pacific"
"100",616,"POL","Poland",51.919438,19.145136,"Europe & Central Asia"
"101",620,"PRT","Portugal",39.399872,-8.224454,"Europe & Central Asia"
"102",634,"QAT","Qatar",25.354826,51.183884,"Middle East & North Africa"
"104",643,"RUS","Russian Federation",61.52401,105.318756,"Europe & Central Asia"
"105",662,"LCA","Saint Lucia",13.909444,-60.978893,"Latin America & Caribbean"
"106",686,"SEN","Senegal",14.497401,-14.452362,"Sub-Saharan Africa"
"107",512,"OMN","Oman",21.512583,55.923255,"Middle East & North Africa"
"108",566,"NGA","Nigeria",9.081999,8.675277,"Sub-Saharan Africa"
"109",688,"SRB","Serbia",44.016521,21.005859,"Europe & Central Asia"
"110",690,"SYC","Seychelles",-4.679574,55.491977,"Sub-Saharan Africa"
"111",699,"IND","India",20.593684,78.96288,"South Asia"
"112",702,"SGP","Singapore",1.352083,103.819836,"East Asia & Pacific"
"113",703,"SVK","Slovakia",48.669026,19.699024,"Europe & Central Asia"
"114",704,"VNM","Viet Nam",14.058324,108.277199,"East Asia & Pacific"
"115",710,"ZAF","South Africa",-30.559482,22.937506,"Sub-Saharan Africa"
"116",716,"ZWE","Zimbabwe",-19.015438,29.154857,"Sub-Saharan Africa"
"117",705,"SVN","Slovenia",46.151241,14.995463,"Europe & Central Asia"
